# From http://www.ne.jp/asahi/hamradio/je9pel/satslist.csv
# NAME;ID;f_uplink_mhz;f_downlink_mhz;f_beakcon_mhz;MODE;CALLSIGN;STATUS
1KUNS-3;47941;;435.310 ;;1k2/9k6* FSK;;active
3CAT-4;60236;;437.350 ;;9k6/14k4 GMSK;;unknown
AAUSAT-2;32788;;437.426 ;;1k2*MSK 9k6 FSK;OZ2CUB;active
ACS3;59588;;401.500 ;;2400bps GMSK;;non-amateur
AEROS-MH-1;59145;;2245.000 ;;FM;;unknown
AHMAT-1;57206;;437.050 ;;1145baudAFSK;RS41S;unknown
AISTECHSAT-2;43768;;436.730 ;;4k8*/9k6 FSK;;active
ALICE;39467;;460.xxx;;GFSK;;non-amateur
All-Star/THEIA;39683;;2401.700 ;;256Kbps BPSK;COSGC1AS;unknown
Altair;61779;;435.215*/435.615/435.715;;1k2AFSK 4k8BPSK;RS65S;unknown
AmicalSat;46287;;436.100*/2415.300;;1k2*AFSK 9k6 GMSK;RS17S;active
AmurSat;44394;;436.250 ;;4800bps mobitex;;active
ANSER-Follower-1;58018;;401.850 ;;FM;;unknown
ANSER-Follower-2;58019;;401.850 ;;FM;;unknown
AO-7;7530;145.850-145.950;29.400- 29.500;29.502 ;A;;active
AO-7;7530;432.125-432.175;145.975-145.925;145.970 ;B C;;active
AO-27;22825;145.850 ;436.795 ;;1200bps AFSK FM;;active
AO-54;28933;;145.990 ;;FM;;unknown
AO-73;39444;435.130-435.150;145.970-145.950;145.935 ;1200*bps BPSK SSB;;active
AO-91;43017;435.250 ;145.960 ;145.960 ;FM* CTCSS 67.0Hz/200bps DUV;;active
AO-123;61781;145.875 ;435.400/436.210/10460.000;;9k6BPSK NBFM QSPK FM;RS64S BJ2CR;active
APEX-ARIES-1;59129;;401.075 ;;FM;;unknown
AprizeSat-6;37793;;400.591 ;;9600bps GMSK;;non-amateur
AprizeSat-7;39416;;400.585 ;;9600bps GMSK;;non-amateur
AprizeSat-8;39425;;400.553 ;;9600bps GMSK;;non-amateur
AprizeSat-9;40018;;400.552 ;;9600bps GMSK;;non-amateur
AprizeSat-10;40019;;400.573 ;;9600bps GMSK;;non-amateur
APSS-1;46932;;435.100 ;;9600bps GMSK;;unknown
ArcCube-01;57205;;437.600 ;;2k4*-9k6 GMSK_USP;RS25S;unknown
ArcticSat-1;61762;;435.890 ;;2k4 GMSK_USP SSTV;RS74S;active
ARGOS-4;54023;;465.988/1.703GHz;;QPSK;;active
ASRTU-1;61781;145.850*/145.875 ;435.400*/436.210/10460.000;;9k6BPSK NBFM QSPK FM;RS64S BJ2CR;active
Astrocast-0.1;43798;;437.150/2403.000;;1200bps FSK;HB9GSF;active
Astrocast-0102;47488;;1.531GHz;;FM;;active
Astrocast-0103;47487;;1.531GHz;;FM;;active
Astrocast-0104;47519;;1.531GHz;;FM;;active
Astrocast-0201;48954;;1.531GHz;;FM;;active
Astrocast-0203;48955;;1.531GHz;;FM;;active
Astrocast-0205;48960;;1.531GHz;;FM;;active
Astrocast-0301;54370;;1.531GHz;;FM;;active
Astrocast-0302;54369;;1.531GHz;;FM;;active
Astrocast-0303;54368;;1.531GHz;;FM;;active
Astrocast-0304;54367;;1.531GHz;;400bps QPSK;;active
AUTcube2;;;437.385 ;437.505 ;1k2AFSK 9k6FSK WSJT;JJ2YTA;unknown
Avion-Kaluga-650;57195;;435.615/435.715;;9k6 DOKA;;unknown
A-SEANSAT-PG1;57197;;401.634 ;;2k4 GMSK_USP;ASAT1S;active
BALKAN-1;62611;;401.360/2102.500;;9600bps GMSK;BALKAN;active
BARRY-1;58338;;401.500/2245.000;;9600bps GMSK;B12;active
BEESAT-8;48085;;435.950 ;;4800bps GMSK;DB0BEL;unknown
BisonSat;40974;;437.375 ;;9600bps GMSK;N7SKC;active
Blue Diamond;42783;;401.150 ;;9600bps FSK;;active
BlueBird-01;61047;;439.500 ;;2400bps GFSK;;unknown
BlueBird-02;61048;;435.900 ;;2400bps GFSK;;unknown
BlueBird-03;61045;;434.100 ;;2400bps GFSK;;unknown
BlueBird-04;61049;;432.300 ;;2400bps GFSK;;unknown
BlueBird-05;61046;;430.500 ;;2400bps GFSK;;unknown
BlueBon;62688;;400.850 ;;FM;;unknown
BlueWalker-3;53807;;437.500/2210.000;;2k4*/9k6 FSK;;active
BOTAN;;145.825 ;437.375 ;437.375 ;1k2AFSK 4k8GMSK APRS CW;;to be launched
BRO-4;49066;;401.735 ;;9600bps FSK;;active
BRO-6;52422;;401.735 ;;9600bps FSK;;active
BRO-7;52174;;401.735 ;;9600bps FSK;;active
BRO-8;55011;;401.735 ;;9600bps FSK;;active
BRO-9;56185;;401.735 ;;4800bps FSK;;active
BRO-10;58331;;401.735/2260.500;;9600bps FSK;;active
BRO-11;58264;;401.735/2260.500;;9600bps FSK;;active
BRO-12;59107;;401.735 ;;9600bps FSK;;active
BRO-13;59108;;401.735 ;;9600bps FSK;;active
BRO-14;60551;;401.735 ;;4800bps FSK;;active
BRO-15;60553;;401.735 ;;4800bps FSK;;active
BSUSat-2;57175;436.200 ;436.990 ;;4k8/9k6* GMSK Digipeater;EU11S;active
BugSat-1;40014;;437.445 ;;9600bps GMSK;LU7AA;active
CAERUS;;;437.600 ;;1200bps AFSK;KJ6FIX-1;unknown
Canyval-X 1/2;;;435.000 ;435.000 ;9600bps MSK;;unknown
CANYVAL-C1;;;436.330 ;;4800bps GMSK;;unknown
CANYVAL-C2;;;437.500 ;;4800bps GMSK;;unknown
CAS-1;36122;;435.790 ;435.790 ;CW;BJ1SA;active
CAS-2T;41847;145.925 ;435.615 ;435.710 ;FM CW*;CAS2T;active
CAS-3H;40908;145.825/145.875;144.390/437.225*;437.200;1k2/4k8*/9k6 FSK APRS FM;BJ1SI;active
CAS-4B;42759;435.270-435.290;145.935-145.915;;SSB*;;active
CAS-4B;42759;;145.890 ;145.910 ;4800bps GMSK CW;BJ1SL;active
CAS-5A;54684;145.820 ;435.540 ;;VHF/UHF SSB bandwidth 30kHz;;active
CAS-5A;54684;145.925 ;435.600 ;;VHF/UHF FM bandwidth 30kHz;;active
CAS-5A;54684;145.975 ;435.650 ;;4k8 GMSK image*data;CAS5A;active
CAS-5A;54684;;;435.570 ;UHF_CW;BJ1SO;active
CAS-5A;54684;21.400 ;29.490 ;;HF/HF SSB bandwidth 30kHz;;unknown
CAS-5A;54684;21.435 ;435.505 ;;HF/UHF SSB bandwidth 30kHz;;unknown
CAS-5A;54684;;;29.465 ;HF_CW;;unknown
CAS-6;44881;;145.910 ;145.910 ;CW;BJ1SV;active
CAS-7A;;21.245-21.275;29.465-29.435;;HF/HF SSB;;to be launched
CAS-7A;;21.3125-21.3275;435.3725-435.3575;;HF/UHF SSB;;to be launched
CAS-7A;;145.865-145.895;435.415-435.385;;VHF/UHF SSB;;to be launched
CAS-7A;;;435.480 ;;4k8 9k6 GMSK telemetry;;to be launched
CAS-7A;;;10460.000 ;;1 Mbps GMSK image data;;to be launched
CAS-8A;;145.805-145.835;435.540-435.510;;VHF/UHF SSB;;to be launched
CAS-8A;;;435.735 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8A;;;2405.100 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8A;;;2405.100 ;;192kbps GMSK image data;;to be launched
CAS-8A;;;2405.300 ;;Inter-satellite link;;to be launched
CAS-8B;;145.840-145.870;435.625-435.595;;VHF/UHF SSB;;to be launched
CAS-8B;;;435.750 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8B;;;2405.100 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8B;;;2405.100 ;;192kbps GMSK image data;;to be launched
CAS-8B;;;2405.300 ;;Inter-satellite link;;to be launched
CAS-8C;;145.875-145.905;435.660-435.630;;VHF/UHF SSB;;to be launched
CAS-8C;;;435.775 ;;4K8 9K6 GMSK telemetry;;to be launched
CAS-8C;;;2405.300 ;;Inter-satellite link;;to be launched
CAS-8D;;145.910-145.940;435.695-435.665;;VHF/UHF SSB;;to be launched
